Name,Alkoholisch,Farbe
Apfel,0,Null
Apfel Sirup,0,Null
Apfel-Maracuja-Saft Saft,0,Null
Apfel-Pfirsich Saft,0,Null
Apfeldicksaft,0,Null
Apfelessig,0,Null
Apfelsaft,0,Null
Apfelsaft Saft,0,Null
Apfelsinensaft Saft,0,Null
Apfeltee,0,Null
Applesirup,0,Null
Applesirup-Monin,0,Null
Aprikosensaft,0,Null
Aprikosensaft Saft,0,Null
Aprikosensirup,0,Null
Aprikosensirup-Riemerschmid,0,Null
Aranciata Pellegrino,0,Null
Artischokensaft,0,Null
Aux Fruits de la Passin-Giffard,0,Null
Bahamassaft,0,Null
Baldriansaft,0,Null
Banane-Vanille-Joghurt Saft,0,Null
Bananenmilch,0,Null
Bananensaft,0,Null
Bananensaft Saft,0,Null
Bananensaft-Monin,0,Null
Bananensirup,0,Null
Bananensirup-Monin,0,Null
Bananensirup-Riemerschmid,0,Null
Barley Water,0,Null
Barlöffel Vanille Eis-Flip Sirup,0,Null
Beauty Colada Saft,0,Null
Bergamottöl,0,Null
Birkenblättersaft,0,Null
Birnendicksaft,0,Null
Birnensaft,0,Null
Birnensaft Saft,0,Null
Bitter Grapefruit,0,Null
Bitter Lemon,0,Null
Bitter Orange,0,Null
Bitter Sirup-Monin,0,Null
Bitter-Bardinet,0,Null
Bitter-Monin,0,Null
Bitterlimonade,0,Null
Bittermandelöl,0,Null
Blaubeer Sirup,0,Null
Blutorangensaft,0,Null
Blutorangensaft Saft,0,Null
Blutorangensirup,0,Null
Blutorangensirup-Monin,0,Null
Blutorangensirup-Riemerschmid,0,Null
Bohnensaft,0,Null
Bouillon,0,Null
Brenneselsaft,0,Null
Brombeeren Saft,0,Null
Brombeersaft,0,Null
Brombeersirup,0,Null
Brombeersirup-Monin,0,Null
Buttermilch,0,Null
Cactus Saft,0,Null
Cassis Sirup,0,Null
Cassis Sirup-Bardinet,0,Null
Cassis Sirup-Giffard,0,Null
Cassis fizzy Water,0,Null
Chataigne,0,Null
Cherimoya Sirup,0,Null
Chilipfeffer Saft,0,Null
Chocolate Colad Sirup,0,Null
Citronelle Sirup,0,Null
Coconut Cream-Giffard,0,Null
Coconut Cream-Monin,0,Null
Cola,0,Null
Consommé,0,Null
Cranberry Blackcurrant,0,Null
Cranberry Blackcurrant Saft,0,Null
Cranberry Raspberry Saft,0,Null
Cranberry Saft,0,Null
Cranberry Saft Saft,0,Null
Cranberrysirup,0,Null
Cranberrysirup-Giffard,0,Null
Cranberrysirup-Monin,0,Null
Cranberrysirup-Riemerschmid,0,Null
Curacau Triple Sec Sirup-Monin,0,Null
Curaçao blau Sirup,0,Null
Curaçao blau Sirup-Bardinet,0,Null
Curaçao blau Sirup-Giffard,0,Null
Curaçao blau Sirup-Monin,0,Null
Curaçao blau Sirup-Riemerschmid,0,Null
Dash Limonade,0,Null
Dickmilch,0,Null
Diät-Orangennektar,0,Null
Domangosaft,0,Null
Eistee Pfirsich,0,Null
Erdbeer,0,Null
Erdbeer Saft,0,Null
Erdbeermilch,0,Null
Erdbeersaft,0,Null
Erdbeersaft Saft,0,Null
Erdbeersirup,0,Null
Erdbeersirup-Giffard,0,Null
Erdbeersirup-Monin,0,Null
Erdbeersirup-Riemerschmid,0,Null
Espresso,0,Null
Essig,0,Null
Exotic Fruit-Sirup,0,Null
Exotic Nectar,0,Null
Falernum,0,Null
Falernum Sirup,0,Null
Fanta Limette,0,Null
Fanta Orange,0,Null
Fanta Sunny Melon,0,Null
Feige Saft,0,Null
Fl. Mineralwasser,0,Null
Fleischbrühe,0,Null
Forbidden Fruit Saft,0,Null
Fragola Boero,0,Null
Frothee,0,Null
Frucht Saft,0,Null
Fruchtsirup,0,Null
Fruchtsäfte,0,Null
Fruchtsäfte Saft,0,Null
Fruits Saft,0,Null
Früchtetee,0,Null
Gazpacho,0,Null
Gemüsesaft,0,Null
Gerstenwasser,0,Null
Gewürznelkensirup,0,Null
Gin Sirup,0,Null
Gin Sirup-Monin,0,Null
Ginger Ale,0,Null
Ginger Jamaica,0,Null
Ginger of India-Giffard,0,Null
Ginger-Jamaica,0,Null
Golden Fresh,0,Null
Gomme Sirup,0,Null
Grapefruit Konzentrat,0,Null
Grapefruit Saft,0,Null
Grapefruit Sirup,0,Null
Grapefruitsaft,0,Null
Grapefruitsaft Konzentrat,0,Null
Grapefruitsaft Saft,0,Null
Grapefruitsaft-Klindworth,0,Null
Grenadinesirup,0,Null
Grenadinesirup-Bardinet,0,Null
Grenadinesirup-Giffard,0,Null
Grenadinesirup-Monin,0,Null
Grenadinesirup-Riemerschmid,0,Null
Groseille Sirup,0,Null
Grüner Apfel Sirup-Monin,0,Null
Guanabanasaft,0,Null
Guavensaft,0,Null
Guavensaft Saft,0,Null
Guavensaft-Riemerschmid,0,Null
Guavensirup,0,Null
Guavensirup-Riemerschmid,0,Null
Gum Sirup,0,Null
Gurke Saft,0,Null
Hagebuttentee,0,Null
Haselnuß Sirup,0,Null
Haselnußsirup,0,Null
Haselnußsirup-Monin,0,Null
Havanna Sirup-Riemerschmid,0,Null
Heidelbeersirup,0,Null
Heidelbeersirup-Monin,0,Null
Heilwasser,0,Null
Hibiscustee,0,Null
Himbeersaft,0,Null
Himbeersaft Saft,0,Null
Himbeersirup,0,Null
Himbeersirup-Riemerschmid,0,Null
Holunderblütensaft,0,Null
Holunderblütensirup,0,Null
Holunderblütensirup-Monin,0,Null
Holundersaft,0,Null
Honigmelone Sirup-Monin,0,Null
Hot Buttered Rum,0,Null
Hühnerbrühe,0,Null
Ingwersirup,0,Null
Ingwerwurzel Saft,0,Null
Instantkaffee,0,Null
Instantkakao,0,Null
Italiano Sirup,0,Null
Italiano Sirup-Riemerschmid,0,Null
Jarabe Espumante Sirup,0,Null
Johannisbeer rot Sirup,0,Null
Johannisbeersaft,0,Null
Johannisbeersirup,0,Null
Johanniskrautsaft,0,Null
Kaffee,0,Null
Kaffeepulver,0,Null
Kaffeesahne,0,Null
Kaffeesirup,0,Null
Kakao,0,Null
Kakaopulver,0,Null
Kamillentee,0,Null
Kandissirup,0,Null
Karamelsirup,0,Null
Karamelsirup-Giffard,0,Null
Karamelsirup-Monin,0,Null
Karamelsirup-Riemerschmid,0,Null
Karottensaft,0,Null
Kirschsaft,0,Null
Kirschsaft Saft,0,Null
Kirschsirup,0,Null
Kirschsirup-Giffard,0,Null
Kirschsirup-Monin,0,Null
Kirschsirup-Riemerschmid,0,Null
Kiwisaft,0,Null
Kiwisirup,0,Null
Kiwisirup-Giffard,0,Null
Kiwisirup-Monin,0,Null
Knoblauch Saft,0,Null
Kokosmilch,0,Null
Kokosnuß,0,Null
Kokosnuß-Kaffee,0,Null
Kokosnußsirup,0,Null
Kokosnußsirup-Giffard,0,Null
Kokosnußsirup-Monin,0,Null
Kokosnußsirup-Riemerschmid,0,Null
Kombucha,0,Null
Kondensmilch,0,Null
Kräutertee,0,Null
Lebkuchengewürz Sirup,0,Null
Lemon Barley Water,0,Null
Lemon Squash-Klindworth,0,Null
Lemon Squash-Roses,0,Null
Lemon Sweet&amp;Sour,0,Null
Lime Saft,0,Null
Limette-Citrus Saft,0,Null
Limette-Citrus-Marie Brizard,0,Null
Limettensaft,0,Null
Limettensaft Saft,0,Null
Limettensirup,0,Null
Limettensirup-Monin,0,Null
Limettensirup-Riemerschmid,0,Null
Limonade,0,Null
Lindenblütentee,0,Null
Lit Hagebuttentee,0,Null
Lit Wasser,0,Null
Litchi Sirup-Monin,0,Null
Loganberrysaft,0,Null
London Dry Sirup-Monin,0,Null
London Dry Sirup-Riemerschmid,0,Null
Lychee,0,Null
Läuterzucker,0,Null
Läuterzucker-Riemerschmid,0,Null
Löwenzahnsaft,0,Null
Macadamiasirup,0,Null
Macadamiasirup-Monin,0,Null
Magermilch,0,Null
Maiskeimöl,0,Null
Maissirup,0,Null
Malventee,0,Null
Malz-Milch,0,Null
Mandarinensaft,0,Null
Mandarinensirup,0,Null
Mandarinensirup-Monin,0,Null
Mandarinensirup-Riemerschmid,0,Null
Mandelmilch,0,Null
Mandelsirup,0,Null
Mandelsirup-Giffard,0,Null
Mandelsirup-Monin,0,Null
Mandelsirup-Riemerschmid,0,Null
Mango-Klindworth,0,Null
Mangosaft,0,Null
Mangosaft Saft,0,Null
Mangosirup,0,Null
Mangosirup-Giffard,0,Null
Mangosirup-Monin,0,Null
Mangosirup-Riemerschmid,0,Null
Maracujasaft,0,Null
Maracujasaft Saft,0,Null
Maracujasaft-Giffard,0,Null
Maracujasaft-Klindworth,0,Null
Maracujasirup,0,Null
Maracujasirup-Giffard,0,Null
Maracujasirup-Monin,0,Null
Maracujasirup-Riemerschmid,0,Null
Maraschinosirup,0,Null
Marillen Saft,0,Null
Marillensaft,0,Null
Mate-Tee,0,Null
Mattoni Peach,0,Null
Melissentee,0,Null
Melone Saft,0,Null
Melonensirup,0,Null
Melonensirup-Monin,0,Null
Melonensirup-Riemerschmid,0,Null
Milch,0,Null
Milchkakao,0,Null
Milchpulver,0,Null
Mineralwasser,0,Null
Minze Sirup,0,Null
Molke,0,Null
Mountain Dew,0,Null
Multivitaminsaft,0,Null
Multivitaminsaft Saft,0,Null
Muschel Fond Saft,0,Null
Möhrensaft,0,Null
Negrita-Bardinet,0,Null
Nektarine,0,Null
Noisette Sirup,0,Null
Noix de Coco-Giffard,0,Null
Noix de Macadamia-Monin,0,Null
Nuss-Sirup,0,Null
Obstessig,0,Null
Ocean Spray Cr.,0,Null
Olivenöl,0,Null
Orange,0,Null
Orange-Mango Saft,0,Null
Orange-Mango Saft Saft,0,Null
Orange-Maracujasaft,0,Null
Orangen-Bitter-Riemerschmid,0,Null
Orangen-Buttermilch,0,Null
Orangenblüten,0,Null
Orangenblüten Sirup,0,Null
Orangenkonzentrat,0,Null
Orangenkonzentrat-Roses,0,Null
Orangenlimonade,0,Null
Orangensaft,0,Null
Orangensaft Saft,0,Null
Orangensaft-Klindworth,0,Null
Orangensirup,0,Null
Orangensirup-Giffard,0,Null
Orangensirup-Monin,0,Null
Orgeat Sirup,0,Null
Orzata Sirup,0,Null
Papayasaft,0,Null
Papayasirup,0,Null
Paprikasaft,0,Null
Passionsfrucht Sirup,0,Null
Passionsfrucht Sirup-Monin,0,Null
Passionsfruchtsaft,0,Null
Passionsfruchtsirup,0,Null
Passionsfruchtsirup-Monin,0,Null
Passionsfruchtsirup-Riemerschmid,0,Null
Pastis,0,Null
Pfefferminzsirup,0,Null
Pfefferminzsirup-Giffard,0,Null
Pfefferminzsirup-Monin,0,Null
Pfefferminzsirup-Riemerschmid,0,Null
Pfefferminztee,0,Null
Pfefferminzöl,0,Null
Pfirsich-Maracuja-Joghurt Saft,0,Null
Pfirsich-Tee,0,Null
Pfirsichsaft,0,Null
Pfirsichsaft Saft,0,Null
Pfirsichsirup,0,Null
Pfirsichsirup-Giffard,0,Null
Pfirsichsirup-Monin,0,Null
Pflaumen Saft,0,Null
Pflaumensaft,0,Null
Pflaumensirup,0,Null
Pistazien Sirup,0,Null
Pistaziensirup,0,Null
Pistaziensirup-Monin,0,Null
Piña Colada,0,Null
Preiselbeersaft,0,Null
Preiselbeersirup,0,Null
Preiselbeersirup-Riemerschmid,0,Null
Presta light,0,Null
Pulco,0,Null
Pulverkaffee,0,Null
Queens Garden,0,Null
Quittennektar,0,Null
Rabarbaro Zucca,0,Null
Red Bull,0,Null
Rhabarbersaft,0,Null
Rinderbrühe,0,Null
Rivella,0,Null
Robby bubble,0,Null
Rock Candy Sirup,0,Null
Rohrzuckersirup,0,Null
Rohrzuckersirup-Monin,0,Null
Rohrzuckersirup-Riemerschmid,0,Null
Rosensirup,0,Null
Rosenwasser,0,Null
Rosmarinsaft,0,Null
Rote Bete Saft,0,Null
Rote-Bete-Saft,0,Null
Rotkohlsaft,0,Null
Rum Sirup,0,Null
Rum Sirup-Monin,0,Null
Saft,0,Null
Samoa Saft,0,Null
San Pellegrino,0,Null
Sanbitter,0,Null
Sanddornsaft,0,Null
Sangria Mix,0,Null
Sangrita,0,Null
Sangrita-Riemerschmid,0,Null
Sauerkirschsaft,0,Null
Sauerkraut Saft,0,Null
Sauerkrautsaft,0,Null
Sauermilch,0,Null
Schafgarbensaft,0,Null
Schizan Schweppes,0,Null
Schnellkaffee,0,Null
Schokoladensirup,0,Null
Schokoladensirup-Monin,0,Null
Schwarzrettichsaft,0,Null
Sekt,0,Null
Selleriesaft,0,Null
Sesam Samen Sirup,0,Null
Seven up,0,Null
Sodawasser,0,Null
Soja Sauce Saft,0,Null
Sojamilch,0,Null
Sprite,0,Null
Sprite Limo,0,Null
Stachelbeeren Saft,0,Null
Strawberry C. Sirup,0,Null
Strega Likör,0,Null
T V Mai Tai Mix,0,Null
T.V.Navy Grog,0,Null
Tassen Milch,0,Null
Tee,0,Null
Teebeutel,0,Null
Teeblätter,0,Null
Tom Collins-Mix,0,Null
Tomatensaft,0,Null
Tomatensaft Saft,0,Null
Tonic Water,0,Null
Traubensaft,0,Null
Trinkjoghurt,0,Null
Trinkschokolade,0,Null
Triple Sec Sirup-Monin,0,Null
Tropic-Eisflip Sirup,0,Null
Tropische Säfte,0,Null
V-8 Saft,0,Null
Vanille Eis-Flip Sirup,0,Null
Vanillemilch,0,Null
Vanillesirup,0,Null
Vanillesirup-Monin,0,Null
Vanillesirup-Riemerschmid,0,Null
Vanilletee,0,Null
Vermouth Bianco,0,Null
Vermouth Rosso,0,Null
Vitaminnektar,0,Null
Waldfrucht &amp; CO Saft,0,Null
Waldmeistersirup,0,Null
Wasser,0,Null
Wassermelone,0,Null
Wassermelone Saft,0,Null
Watermelonsirup,0,Null
Weizenkeimöl,0,Null
Weißdornsaft,0,Null
Weißkohl Saft,0,Null
Williams-Christ-Birne Saft,0,Null
Worcestershire Saft,0,Null
Zimtsirup,0,Null
Zimtsirup-Marie Brizard,0,Null
Zimtsirup-Monin,0,Null
Zitrone Limo,0,Null
Zitronenlimonade,0,Null
Zitronensaft,0,Null
Zitronensaft Saft,0,Null
Zitronensaft-Klindworth,0,Null
Zitronensirup,0,Null
Zitronensirup-Riemerschmid,0,Null
Zucker Sirup,0,Null
Zucker-Riemerschmid,0,Null
Zwiebelsaft,0,Null
alkoholfreier Schaumwein,0,Null
alkoholfreier Sekt,0,Null
alkoholfreier Vermouth,0,Null
alkoholfreier Wein,0,Null
Öl,0,Null
